title,artists,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url
Kill Bill,SZA,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
Last Night,Morgan Wallen,spotify:track:59uQI0PADDKeE6UZDTJEe8,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8
Flowers,Miley Cyrus,spotify:track:3MnewZrZDqej6thgEx3OB1,0.672,0.159,9,-8.76,0,0.0343,0.962,1.83e-05,0.106,0.117,113.218,audio_features,3MnewZrZDqej6thgEx3OB1,spotify:track:3MnewZrZDqej6thgEx3OB1,https://api.spotify.com/v1/tracks/3MnewZrZDqej6thgEx3OB1,https://api.spotify.com/v1/audio-analysis/3MnewZrZDqej6thgEx3OB1,210827,4,https://open.spotify.com/track/3MnewZrZDqej6thgEx3OB1
Princess Diana,Ice Spice & Nicki Minaj,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,audio_features,0ZxhtATQ0a6EvQNZ0z6NKV,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125,4,https://open.spotify.com/track/0ZxhtATQ0a6EvQNZ0z6NKV
Ella Baila Sola,Eslabon Armado X Peso Pluma,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,audio_features,3dnP0JxCgygwQH9Gm7q7nb,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb,165671,3,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb
Creepin',"Metro Boomin, The Weeknd & 21 Savage",spotify:track:2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO
Calm Down,Rema & Selena Gomez,spotify:track:0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
Die For You,The Weeknd & Ariana Grande,spotify:track:7oDd86yk8itslrA9HRP2ki,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,audio_features,7oDd86yk8itslrA9HRP2ki,spotify:track:7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/audio-analysis/7oDd86yk8itslrA9HRP2ki,232857,4,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki
Search & Rescue,Drake,spotify:track:00sydAz6PeOxYzwG1dRIPi,0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,audio_features,00sydAz6PeOxYzwG1dRIPi,spotify:track:00sydAz6PeOxYzwG1dRIPi,https://api.spotify.com/v1/tracks/00sydAz6PeOxYzwG1dRIPi,https://api.spotify.com/v1/audio-analysis/00sydAz6PeOxYzwG1dRIPi,208133,4,https://open.spotify.com/track/00sydAz6PeOxYzwG1dRIPi
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
Anti-Hero,Taylor Swift,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
